stt,ten_cong_ty,ma_phe_duyet,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat_moi_nhat
108,MB IMON ITAU,190012355,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Raudondvario pl. 162",Kaunas,LT-47174,Kaunas County,Lithuania,2021-03-18
109,MB Ingamina,LT 41-14 EB,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Sodų g. 1,",Dūkštos,LT-14222,Vilnius County,Lithuania,2021-03-23
110,MB Kaimo mėsinė,LT 54-09,1,RPM (Meat products),PP - Processing Plant,"Šiluvos g.24, Tytuvėnai, Tytuvėnų sen., Kelmės r. sav. LT-86494",Kelmė,LT-86137,Siauliai County,Lithuania,2021-03-19
111,MB Kindziulis,01-55,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,"Kirtimų g. 57 A, Vilnius",Vilnius,LT-02244,Vilnius County,Lithuania,2026-01-26
112,MB LILĖS SŪRIAI,53-02P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Liepupio g., 3, Piliamantas, Dotnuvos sen., Kėdainių r",Piliamantas,LT-58331,Kaunas County,Lithuania,2021-03-18
113,MB LITHUANIAN BEE,86-03,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Postavų g. 82, Adutiškis, Adutiškio sen., Švenčionių r. sav.",Adutiškis,LT-18290,Utena County,Lithuania,2021-03-19
114,MB Lašinukai,LT 41-21,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Vilniaus r., Jarmališkių k. 7A",Jarmališkės,,Vilnius County,Lithuania,2021-05-19
115,MB Mantų statyba,19-18,1,FFP (Fishery products - EU),PP - Processing Plant,"Jonavos g. 68, Kaunas",Kaunas,LT-44181,Kaunas County,Lithuania,2021-03-18
116,MB Margas lukštas,52-20,1,EEP (Eggs and egg products),PP - Processing Plant,"Marčiupio g. 42, Smiltynų II k., Lapių sen., Kauno r.",Smiltynų II k.,LT-54424,Kaunas County,Lithuania,2021-03-19
117,MB PISCATOR,53-12,1,FFP (Fishery products - EU),PP - Processing Plant,"Parko g., 15C, Akademijos mst., Dotnuvos sen., Kėdainių r.",Akademija,LT-58344,Kaunas County,Lithuania,2021-03-18
118,MB Rūkyklėlė,LT 01-27 EB,1,RPM (Meat products),PP - Processing Plant,Verslo g. 16,Grigaičių k.,LT-11236,Vilnius County,Lithuania,2021-03-25
119,MB Shimas,LT 01-034 M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Ratnyčios g. 34,Vilnius,08231,Vilnius County,Lithuania,2021-03-25
120,MB Skonio lobis,LT 01-109 M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Geologų g. 6,Vilnius,02190,Vilnius County,Lithuania,2021-03-25
121,MB TOKA FOOD,520001665,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno r. sav., Garliavos apylinkių sen., Pagirių k., Marijampolės g. 27",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-19
122,MB Ungurio koja,LT 01-089 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Meistrų g. 11,Vilnius,02189,Vilnius County,Lithuania,2021-03-26
123,MB Žibartonių mėsa,LT66-02 EB,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Žibartonių g.50, Žibartonių k., Panevėžio r.",Žibartoniai,LT-38301,Panevezys County,Lithuania,2025-04-24
124,"MBA FOOD, UAB",52-03,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Parko g. 8, Bubių k., Batniavos sen., Kauno raj.",Bubiai,LT-54189,Kaunas County,Lithuania,2021-03-19
125,"MEL LT, MB",520001776,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Karmėlavos sen., Biruliškių k., Terminalo g. 6",Kaunas,LT-54469,Kaunas County,Lithuania,2021-03-18
126,MV GROUP DISTRIBUTION LT,130001204,1,GEN (General activity establishment - EU),WM - Wholesale Market,"V.A.Graičiūno g. 38, LT-02244 Vilnius",Vilnius,LT-02244,Vilnius County,Lithuania,2024-09-02
127,Mečislovo Mlečkos mėsos gaminių cechas,LT 41-013 M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Miško g. 21,Skaidiškių k.,LT-13276,Vilnius County,Lithuania,2021-06-22
128,"Mogemas, UAB",LT82-04EB,1,RPM (Meat products),PP - Processing Plant,Pramonės g. 4,Utena,28216,Utena County,Lithuania,2022-02-23
129,Moguntia Baltija UAB,LT 55-01 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,"Paupių g. 1, Klemiškės I k., LT-91291 Klaipėdos r.",Klaipėda,LT-91241,Klaipeda County,Lithuania,2021-03-12
130,NOWACO  A/S,62497718,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 96, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2023-12-11
131,"Premuita, UAB",LT 01-32 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,Kirtimų g. 69,Vilnius,02244,Vilnius County,Lithuania,2022-06-14
132,R. Pinaičio IĮ,LT 94-15 EB,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Ateities g. 5, Girdžiai, Girdžių sen., Jurbarko r. sav., Tauragės apskr.",Girdžiai,,Taurage County,Lithuania,2021-03-19
133,R.Valiulio individuali įmonė,73-05,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Juozapavos k. 3, Rokiškio km. sen., Rokiškio r. sav.",Juozapavos k.,LT-42103,Panevezys County,Lithuania,2025-04-24
134,R.ŠLEPIENĖS ĮMONĖ,LT 72-08,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,Jono Pauliaus II g.13,Šiluva,LT-60432,Kaunas County,Lithuania,2021-03-19
135,"RIMI Logistics, UAB",LT 42-04; 42-07,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market | CS - Cold Stores,"Kauno g. 53, Vievis, Vievio sen., Elektrėnų sav.",Vievis,LT-21371,Vilnius County,Lithuania,2026-06-22
136,ROLANDO LAZDAUSKO ĮMONĖ,190003912,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, R. Kalantos g. 76",Kaunas,LT-52362,Kaunas County,Lithuania,2021-03-18
137,Rimutės Povilaitienės firma,19-21,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant | PP - Processing Plant,"Dvarų g. 47, Kaunas",Kaunas,LT-46399,Kaunas County,Lithuania,2021-03-19
138,Ričardo Lapinsko ūkis,LT 54-08,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse,"Vilbėno g.23, Verpenos k., Kelmės apyl .sen., Kelmės r. sav. LT- 86105",Kelmė,LT-86137,Siauliai County,Lithuania,2025-04-03
139,Romo Goštauto įnd. įmonė,46-05,1,RPM (Meat products),PP - Processing Plant,"Kauno apskr., Jonavos r. sav., Šilų sen., Praulių k., Žalioji g. 15",Prauliai,LT-55461,Kaunas County,Lithuania,2021-03-18
140,Romualdo Karbausko ind.įmonė,61-05,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Pumpurų g.25, Reivyčiai, Reivyčių sen., Mažeikių r.sav., Telšių apskr.",Reivyčiai,LT-89301,Telsiai County,Lithuania,2021-03-17
141,Rytis Matuliauskas,LT 01-102 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Šlamučių g. 20,Vilnius,10013,Vilnius County,Lithuania,2021-03-26
142,S. Momeniškio firma Gurmanas,LT66-04 EB,1,RPM (Meat products),PP - Processing Plant,"Žalioji g. 1C, Uliūnų k., LT-38241",Uliūnai,,Panevezys County,Lithuania,2021-03-16
143,SANITEX UAB,110443493,1,GEN (General activity establishment - EU),CS - Cold Stores,"Alšėnų str. 8, 12. Kampiškiai.  Kauno district. LT-53303",Kaunas,LT47500,Kaunas County,Lithuania,2024-04-30
144,SKAISTGIRIO ŽŪB ŽAGARĖS PIENINĖ,LT 47-05,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Liepų g. 20C, Skaistgirio mst., Joniškio r. sav.",Skaistgirys,,Siauliai County,Lithuania,2021-03-18
145,SPAISVILĖ UAB,LT 94-05 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; RW - Re-wrapping Establishment,Dirbtuvių g. 5,Sarapiniškiai,LT-74276,Taurage County,Lithuania,2021-03-23
146,Sigitas Petraitis  ŪKININKO ŪKIS,LT 47- 04,1,GM (Meat of farmed game),SH - Slaughterhouse,"Sodų g.2, Ziniūnai, Joniškio r. sav.",Ziniūnai,LT-84143,Siauliai County,Lithuania,2021-03-18
147,TORES LT UAB,190008649,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Taikos pr. 94",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-18
148,Tomas Michalskis,190012015,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Europos pr. 36, Kaunas",Kaunas,LT-46369,Kaunas County,Lithuania,2021-03-18
149,UAB  SCANDI STANDARD - BALTICS,47-08,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse; CP - Cutting Plant,"Liliškių k. 4, Skaistgirio sen. LT-84389 , Joniškio r. sav.",Liliškės,,Siauliai County,Lithuania,2024-05-27
150,UAB  ŽVĖRIENA LT,53-15,1,WM (Wild game meat),CP - Cutting Plant; GHE - Game-Handling Establishment,"Kūjėnų k.2, Vilainių sen., Kėdainių r",Kūjėnai II,LT-58411,Kaunas County,Lithuania,2023-11-06
151,"UAB "" Dige""",61-09,1,FFP (Fishery products - EU),PP - Processing Plant,"Laukų 2K, Tirkšliai, Mažeikių r. sav,. Telšių apskr.",Tirkšliai,LT-89330,Telsiai County,Lithuania,2021-03-15
152,"UAB """"KLAIPĖDOS ŠALDYTUVŲ TERMINALAS",LT 21-06 EB,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,NEMUNO G. 24,Klaipėda,LT-93172,Klaipeda County,Lithuania,2021-03-12
153,"UAB ""ATLANTIC HIGH SEA FISHING COMPANY"" laivas šaldytuvas JOGVAN I",LT21-44,1,FFP (Fishery products - EU),ZV - Freezer Vessel,Pylimo g. 4,Klaipėda,LT-91249,Klaipeda County,Lithuania,2026-08-17
154,"UAB ""ATLANTIC HIGH SEA FISHING COMPANY"" laivas šaldytuvas MARGIRIS",LT 21-11 EB,1,FFP (Fishery products - EU),ZV - Freezer Vessel; FV - Factory Vessel; FS - Fishing Vessel,"Pylimo g. 4, LT-91249, Klaipėda",Klaipėda,LT-91249,Klaipeda County,Lithuania,2021-03-17
155,"UAB ""ATLANTIC HIGH SEA FISHING COMPANY"" Žuvų Perdirbimo Laivas ""Nida""",LT 21-05 EB,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),ZV - Freezer Vessel; FV - Factory Vessel | RV - Reefer Vessel,"Pylimo g. 4, LT-91249, Klaipėda",Klaipėda,LT-91249,Klaipeda County,Lithuania,2021-03-17
156,"UAB ""AVITRA""",LT 56-03 EB,1,RPM (Meat products),PP - Processing Plant,"Laukų g. 6, LT-97148 Kretinga",Kretinga,97104,Klaipeda County,Lithuania,2021-03-22
157,"UAB ""Amber Terminal Klaipėda""",21-43,1,GEN (General activity establishment - EU),CS - Cold Stores,"Šilutės pl. 125, Klaipėdos m. sav.",Klaipėda,LT-95112,Klaipeda County,Lithuania,2026-04-23
158,"UAB ""Art Glacio""",LT 39-10P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Pilviškių g. 48, Vilkaviškis",Vilkaviškis,LT-70150,Marijampole County,Lithuania,2021-03-09
159,"UAB ""Baltic food partners""",520002065,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Veterinarų g. 53, Biruliškių k., Karmėlavos sen., Kauno r.",Biruliškės,LT-54435,Kaunas County,Lithuania,2021-04-09
160,"UAB ""Baltijos mėsos grupės logistika""",LT 21-02 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,"Verslo g. 8, Klaipėda",Klaipėda,LT-94102,Klaipeda County,Lithuania,2021-03-12
161,"UAB ""Baltlanta"" Žvejybinis Laivas ""IEVA SIMONAITYTĖ""",LT 21-27 EB,1,FFP (Fishery products - EU),FV - Factory Vessel; ZV - Freezer Vessel; FS - Fishing Vessel,"Liepų g. 48B, LT-92107 Klaipėda",Klaipėda,LT-92107,Klaipeda County,Lithuania,2021-03-17
162,"UAB ""Baltlanta"" Žvejybinis Laivas ""Simonas Daukantas""",LT 21-26 EB,1,FFP (Fishery products - EU),FS - Fishing Vessel; ZV - Freezer Vessel; FV - Factory Vessel; RV - Reefer Vessel,"Liepų g. 48B, LT-92107 Klaipėda",Klaipėda,LT-92107,Klaipeda County,Lithuania,2021-03-17
163,"UAB ""Belvederio""",LT94-02P EB; LT94-03P EB; LT 84-01; LT94-06 EB,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"Belvederio k., Seredžiaus sen., Jurbarko r. sav.",Seredžius,,Taurage County,Lithuania,2021-03-19
164,"UAB ""Bomesa""",LT 84-03,1,RPM (Meat products),PP - Processing Plant,"Sodų g. 3, Baltrušių k., Barzdų sen., Šakių r. sav.",Baltrušiai,LT-71286,Marijampole County,Lithuania,2021-03-09
165,"UAB ""Broileta""",LT-12-01 EB,1,RPM (Meat products),PP - Processing Plant,"Kernuvių k., 3, Birštono sav.",Kernuvės,LT-59218,Kaunas County,Lithuania,2021-03-17
166,"UAB ""DVARO ŽUVYS""",LT 84-04,1,FFP (Fishery products - EU),PP - Processing Plant,"Žeimio k., Kriūkų sen., Šakių r. sav.",Žeimis,LT-71207,Marijampole County,Lithuania,2021-03-09
167,"UAB ""Daivida"" Mėsos gaminių cechas (Tauragės padalinys)",77- 02,1,RPM (Meat products),PP - Processing Plant,"Vėjų g. 8, Ąžuolynės k., Gaurės sen., Taurgaės r.,sav.",Tauragė,LT-72320,Taurage County,Lithuania,2022-03-09
168,"UAB ""Dauparų Žuvis""",LT 88-04 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Šilo g. 7, LT-99149, Šilutė",Šilute,99149,Klaipeda County,Lithuania,2021-03-17
169,"UAB ""Dragsbaek Lietuva""",01-50,1,GEN (General activity establishment - EU),WM - Wholesale Market; RW - Re-wrapping Establishment,"Zietelos g. 3, Vilnius",Vilnius,LT-03160,Vilnius County,Lithuania,2026-02-10
170,"UAB ""Dulvira""",LT27-18 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,"Kėdainių g. 25, Panevėžys",Panevežys,36220,Panevezys County,Lithuania,2021-03-17
171,"UAB ""FISH FACTORY""",LT 85-07,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),WM - Wholesale Market; PP - Processing Plant | CS - Cold Stores; RW - Re-wrapping Establishment,"Vilniaus apskr., Šalčininkų r. sav., Šalčininkų sen., Šalčininkai, Vilniaus g. 3",Šalčininkai,LT-17102,Vilnius County,Lithuania,2025-03-04
172,"UAB ""Foksas""",01-60,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Ugniagesių g. 14, Vilniaus m. sav.",Vilnius,LT-02244,Vilnius County,Lithuania,2026-08-26
173,"UAB ""GIEMEDA""",730000934,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Lukštų g. 12-6, Lukštų k., Juodupės sen., Rokiškio r. sav., Lietuva",Lukštai,LT-42495,Panevezys County,Lithuania,2025-11-18
174,"UAB ""Gardulis""",LT 39-24,1,RPM (Meat products),PP - Processing Plant,"J. Basanavičiaus g. 57a, Kybartai",Kybartai,LT-70423,Marijampole County,Lithuania,2021-03-09
175,"UAB ""Geld Baltic""",LT 27-09 EB,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | RW - Re-wrapping Establishment,Ramygalos g. 149 e,Panevežys,36220,Panevezys County,Lithuania,2021-03-22
176,"UAB ""Gergidita""",18-02,1,RM (Meat of domestic ungulates),CP - Cutting Plant,"Šešupės g. 66, Mokolų k., Šunskų sen., Marijampolės sav.",Mokolai,LT-69360,Marijampole County,Lithuania,2021-03-09
177,"UAB ""Girjuda""",LT 51-09,1,RPM (Meat products),PP - Processing Plant,"Uosio g. 8, Pietarių k., Marijampolės sen., Marijampolės sav.",Pietariai,LT-68100,Marijampole County,Lithuania,2021-03-09
178,"UAB ""Gulbelė""",84-006V,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MM - Minced Meat Plant,"V. Kudirkos g. 61, Šakiai",Šakiai,LT-71109,Marijampole County,Lithuania,2021-03-14
179,"UAB ""Handelshus""",01-29,1,GEN (General activity establishment - EU),WM - Wholesale Market; RW - Re-wrapping Establishment; CS - Cold Stores,"Savanorių pr. 180, Vilnius, Vilniaus m. sav.",Vilnius,LT-02301,Vilnius County,Lithuania,2026-04-29
180,"UAB ""ICECO Assets""",18-20; LT 51-12,1,GEN (General activity establishment - EU),CS - Cold Stores,"Ledo g. 3, Liepynų k., Liudvinavo sen., Marijampolės sav.",Liepynai,LT-68126,Marijampole County,Lithuania,2025-12-18
181,"UAB ""Iceco Ledai""",LT 51-03 P EB; 520002100,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | WM - Wholesale Market,"Ledo g. 1, Liepynų k., LT-68126 Marijampolė",Marijampolė,LT-68122,Marijampole County,Lithuania,2021-09-27
182,"UAB ""Iceco Žuvis""",LT 51-06 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Vasaros g. 99, Liepynų k., Liudvinavo sen., Marijampolės sav.",Liepynai,LT-68126,Marijampole County,Lithuania,2021-09-17
183,"UAB ""Investara""",LT49-10EB,1,FFP (Fishery products - EU),FFPP - Fresh Fishery Products Plant,"Strėvos g. 6A, Būbliai, LT-56362 Kaišiadorių r.",Būbliai,LT-58113,Kaunas County,Lithuania,2021-03-18
184,"UAB ""Jautienos guru""",LT 84-11,1,RM (Meat of domestic ungulates),CP - Cutting Plant,"Valių g. 25b, Giedručių k., Šakių sen., Šakių r. sav.",Giedručiai,LT-71104,Marijampole County,Lithuania,2022-09-12
185,"UAB ""KOGUS""",LT45-06EB; LT 45-06 EB,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU) | RPM (Meat products)",MP - Meat Preparation Plant | CS - Cold Stores | PP - Processing Plant,"Pramonės g. 17, Karlų k. Visagino sav.",Karlos,LT-30270,Utena County,Lithuania,2024-02-10
186,"UAB ""KOMODA""",LT 55-14 EB,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,"Palangos pl. 6, LT96327 Sudmantai, Sendvario sen., Klaipėdos r.",Sudmantai,LT-96327,Klaipeda County,Lithuania,2023-07-07
187,"UAB ""Klaipėdos mėsinė""",88-24,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Tauragės apskr., Pagėgių sav., Stoniškių sen., Šilgaliai, Vilkos g. 2",Šilgaliai,LT-99290,Taurage County,Lithuania,2021-03-17
188,"UAB ""Krekenavos agrofirma""",LT 51-07,2,PM (Meat from poultry and lagomorphs) | RPM (Meat products),SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Vasaros g. 1, Skriaudučio k., Marijampolės sen., Marijampolės sav.",Skriaudutis,LT-68185,Marijampole County,Lithuania,2021-03-09
189,"UAB ""Leketai""",LT 51-08,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Patašinės g. 44, Patašinės k., Marijampolės sen., Marijampolės sav.",Patašinė,LT-69047,Marijampole County,Lithuania,2021-03-09
190,"UAB ""Leketų ūkis""",LT 18-13,1,RPM (Meat products),PP - Processing Plant,"Suvalkijos g. 51, Bitikų k., Sasnavos sen., Marijampolės sav.",Bitikai,LT-69481,Marijampole County,Lithuania,2021-03-12
191,"UAB ""Linegis""",LT 88-25 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Šaulių g.4, Gardamas, LT- 99417, Šilutės r. sav",Gardamas,LT-99417,Klaipeda County,Lithuania,2021-03-17
192,"UAB ""Litbona""",190012559,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,LT-51179,Kaunas County,Lithuania,2021-06-17
193,"UAB ""Magnum ICC Lietuva""",61-02P,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"Skuodo g. 28, Mažeikiai, Mažeikių sen., Mažeikių r.sav., Telšių apskr.",Mažeikiai,89100,Telsiai County,Lithuania,2022-03-31
194,"UAB ""Magnuva""",LT 19-31,2,RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"Europos pr. 122, Kaunas",Kaunas,LT-46351,Kaunas County,Lithuania,2021-03-09
195,"UAB ""Mantinga""",LT 18-03 EB,1,RPM (Meat products),PP - Processing Plant,Draugystės g. 12,Marijampolė,LT-68261,Marijampole County,Lithuania,2021-09-27
196,"UAB ""Margūnas""",190001165,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Ringuvos g.53, LT-45245, Kaunas",Kaunas,LT-45226,Kaunas County,Lithuania,2025-05-26
197,"UAB ""Marlinas"" Gamyklinis Laivas ""LOKYS""",LT 21-28 EB,1,FFP (Fishery products - EU),ZV - Freezer Vessel; FS - Fishing Vessel; FV - Factory Vessel,"Pylimo g. 4, LT-91249 Klaipėda",Klaipėda,LT-91249,Klaipeda County,Lithuania,2021-03-17
198,"UAB ""Marlinas"" Gamyklinis Laivas ""TAURUS""",LT 21-22 EB,1,FFP (Fishery products - EU),ZV - Freezer Vessel; FS - Fishing Vessel; FV - Factory Vessel,"Pylimo g. 4, LT-91249 Klaipėda",Klaipėda,LT-91249,Klaipeda County,Lithuania,2021-03-17
199,"UAB ""Marės industrija""",LT 55-29 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Klaipėdos g. 20, Grobštų k., Agluonėnų sen.,
Klaipėdos raj. LT-96250 Lietuva",Grobštai,LT-96252,Klaipeda County,Lithuania,2021-03-15
200,"UAB ""Mažeikių Mėsinė""",61-01,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CS - Cold Stores | CP - Cutting Plant | PP - Processing Plant,"Troškučių g. 2, Mažeikiai, Mažeikių r.sav",Mažeikiai,LT-89100,Telsiai County,Lithuania,2024-01-18
201,"UAB ""Memel Sell""",LT 55-11 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Stirbių g. 11, Medsėdžiai, Dovilų sen.,LT-96165 Klaipėdos r.",Medsėdžiai,,Klaipeda County,Lithuania,2021-03-15
202,"UAB ""Momblan""",LT 51-02,1,RPM (Meat products),PP - Processing Plant,"J. Andriuškevičiaus g. 6, Želsvos k., Liudvinavo sen., Marijampolės sav.",Želsva,LT-69193,Marijampole County,Lithuania,2021-03-09
203,"UAB ""Mėsos kraitė""",LT-69-02EB,1,RPM (Meat products),PP - Processing Plant,"Žvejų g. 30, Išlaužas, Prienų r.",Išlaužas,LT-59302,Kaunas County,Lithuania,2021-03-17
204,"UAB ""NNL LT""",300151140,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Marijampolės g. 27, Pagiriai, Kauno raj.",Pagiriai,LT-53283,Kaunas County,Lithuania,2024-04-09
205,"UAB ""NOKVĖJA""",LT 56-14 EB,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | RW - Re-wrapping Establishment,"Piliakalnio g. 6, Žvainių k., LT- 97319, Kretingos r. sav.",Žvainiai,LT-97318,Klaipeda County,Lithuania,2021-03-22
206,"UAB ""NORDNIX""",LT 21-03 EB; LT21-10EB,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores | CS - Cold Stores,"Šilutės pl. 9, Klaipėda",Klaipėda,LT-91109,Klaipeda County,Lithuania,2024-08-30
207,"UAB ""Nordic proteins""",36-01 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Biržų g. 35, Medeikių k., Biržų r., LT-41456",Medeikiai,,Panevezys County,Lithuania,2025-12-19
208,"UAB ""Norfos mažmena""",18-057; 39-003V; 84-002V; 84-005V; 39-004V; 18-004 V; 18-046; 18-010 V,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MM - Minced Meat Plant,"Vilkaviškio g. 61C, Marijampolė",Marijampolė,LT-68181,Marijampole County,Lithuania,2021-03-14
209,"UAB ""OSTSEE FISH KRETINGA""",LT 56-05 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Tiekėjų g. 33A, LT-97187 Kretinga",Kretinga,97104,Klaipeda County,Lithuania,2021-03-22
210,"UAB ""Orka foods""",520002076,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Veterinarų g. 53, Biruliškiškių k., Karmėlavos sen., Kauno r.",Biruliškės,LT-50381,Kaunas County,Lithuania,2021-04-20
211,"UAB ""Orkos""",190012982,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 96, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2022-01-04
212,"UAB ""PASAULIO ŽUVYS""",LT 55-10 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Pamarių g. 15, Priekulė, LT-96345 Klaipėdos rajonas",Priekulė,,Klaipeda County,Lithuania,2021-03-12
213,"UAB ""Palink""",18-001 V; 84-004V; 39-006; 39-005V; 39-001V; 18-049; 18-009 V; 18-050,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MM - Minced Meat Plant,"Vilkaviškio g. 72a, Marijampolė",Marijampolė,LT-68181,Marijampole County,Lithuania,2021-03-14
214,"UAB ""Pecus Balticum""",190012557,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Archeologų g. 6, Kaunas",Kaunas,LT-47132,Kaunas County,Lithuania,2021-06-17
215,"UAB ""Plungės kooperatinė prekyba""",520002064,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Veterinarų g. 53, Biruliškių k., Karmėlavos sen., Kauno r.",Biruliškės,LT-54435,Kaunas County,Lithuania,2021-04-09
